date,cloudcover,day_of_week,label
1992-10-22,10.4,Thursday,Weekday
1992-10-23,0.0,Friday,Weekday
1992-10-24,64.4,Saturday,Weekend
1992-10-25,77.0,Sunday,Weekend
1992-10-26,39.2,Monday,Weekday
1992-10-27,29.0,Tuesday,Weekday
1992-10-28,33.7,Wednesday,Weekday
1992-10-29,75.3,Thursday,Weekday
1992-10-30,98.9,Friday,Weekday
1992-10-31,99.2,Saturday,Weekend
1992-11-01,73.4,Sunday,Weekend
1992-11-02,99.2,Monday,Weekday
1992-11-03,100.0,Tuesday,Weekday
1992-11-04,99.8,Wednesday,Weekday
1992-11-05,98.1,Thursday,Weekday
1992-11-06,74.2,Friday,Weekday
1992-11-07,70.5,Saturday,Weekend
1992-11-08,21.5,Sunday,Weekend
1992-11-09,32.8,Monday,Weekday
1992-11-10,51.3,Tuesday,Weekday
1992-11-11,98.3,Wednesday,Weekday
1992-11-12,97.8,Thursday,Weekday
1992-11-13,42.8,Friday,Weekday
1992-11-14,17.6,Saturday,Weekend
1992-11-15,27.6,Sunday,Weekend
1992-11-16,40.6,Monday,Weekday
1992-11-17,98.2,Tuesday,Weekday
1992-11-18,100.0,Wednesday,Weekday
1992-11-19,74.7,Thursday,Weekday
1992-11-20,42.9,Friday,Weekday
1992-11-21,86.2,Saturday,Weekend
1992-11-22,100.0,Sunday,Weekend
1992-11-23,76.5,Monday,Weekday
1992-11-24,94.3,Tuesday,Weekday
1992-11-25,100.0,Wednesday,Weekday
1992-11-26,100.0,Thursday,Weekday
1992-11-27,71.4,Friday,Weekday
1992-11-28,70.5,Saturday,Weekend
1992-11-29,86.2,Sunday,Weekend
1992-11-30,42.0,Monday,Weekday
1992-12-01,93.1,Tuesday,Weekday
1992-12-02,97.0,Wednesday,Weekday
1992-12-03,70.8,Thursday,Weekday
1992-12-04,86.4,Friday,Weekday
1992-12-05,66.6,Saturday,Weekend
1992-12-06,49.9,Sunday,Weekend
1992-12-07,60.4,Monday,Weekday
1992-12-08,49.8,Tuesday,Weekday
1992-12-09,12.5,Wednesday,Weekday
1992-12-10,90.1,Thursday,Weekday
1992-12-11,100.0,Friday,Weekday
1992-12-12,100.0,Saturday,Weekend
1992-12-13,86.5,Sunday,Weekend
1992-12-14,54.6,Monday,Weekday
1992-12-15,53.0,Tuesday,Weekday
1992-12-16,100.0,Wednesday,Weekday
1992-12-17,99.9,Thursday,Weekday
1992-12-18,42.6,Friday,Weekday
1992-12-19,83.9,Saturday,Weekend
1992-12-20,77.5,Sunday,Weekend
1992-12-21,21.6,Monday,Weekday
1992-12-22,57.7,Tuesday,Weekday
1992-12-23,89.4,Wednesday,Weekday
1992-12-24,45.3,Thursday,Weekday
1992-12-25,60.8,Friday,Weekday
1992-12-26,32.3,Saturday,Weekend
1992-12-27,23.4,Sunday,Weekend
1992-12-28,99.8,Monday,Weekday
1992-12-29,99.9,Tuesday,Weekday
1992-12-30,99.9,Wednesday,Weekday
1992-12-31,100.0,Thursday,Weekday
1993-01-01,46.0,Friday,Weekday
1993-01-02,37.1,Saturday,Weekend
1993-01-03,87.4,Sunday,Weekend
1993-01-04,76.2,Monday,Weekday
1993-01-05,80.0,Tuesday,Weekday
1993-01-06,95.4,Wednesday,Weekday
1993-01-07,96.6,Thursday,Weekday
1993-01-08,100.0,Friday,Weekday
1993-01-09,100.0,Saturday,Weekend
1993-01-10,87.1,Sunday,Weekend
1993-01-11,100.0,Monday,Weekday
1993-01-12,100.0,Tuesday,Weekday
1993-01-13,99.0,Wednesday,Weekday
1993-01-14,99.7,Thursday,Weekday
1993-01-15,95.1,Friday,Weekday
1993-01-16,78.3,Saturday,Weekend
1993-01-17,93.7,Sunday,Weekend
1993-01-18,41.3,Monday,Weekday
1993-01-19,29.3,Tuesday,Weekday
1993-01-20,2.5,Wednesday,Weekday
1993-01-21,63.4,Thursday,Weekday
1993-01-22,96.5,Friday,Weekday
1993-01-23,84.4,Saturday,Weekend
1993-01-24,62.1,Sunday,Weekend
1993-01-25,17.3,Monday,Weekday
1993-01-26,52.0,Tuesday,Weekday
1993-01-27,63.0,Wednesday,Weekday
1993-01-28,62.5,Thursday,Weekday
1993-01-29,53.3,Friday,Weekday
1993-01-30,56.0,Saturday,Weekend
1993-01-31,97.4,Sunday,Weekend
1993-02-01,50.8,Monday,Weekday
1993-02-02,30.3,Tuesday,Weekday
1993-02-03,39.7,Wednesday,Weekday
1993-02-04,30.6,Thursday,Weekday
1993-02-05,49.6,Friday,Weekday
1993-02-06,67.7,Saturday,Weekend
1993-02-07,34.0,Sunday,Weekend
1993-02-08,39.0,Monday,Weekday
1993-02-09,12.9,Tuesday,Weekday
1993-02-10,37.1,Wednesday,Weekday
1993-02-11,80.1,Thursday,Weekday
